x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.29305128,0.66627289,0.24391236,0.50363933,-0.51834051,0.49162625,0.48577173,841.02427000,-4.64210359,5.10874224,-4.64210359,711.81271413,-4.84844331,5.10874224,-4.84844331,801.40279593,2.21820180,2.25675810,-3.25630343,2.25675810,9.87412603,-3.11855493,-3.25630343,-3.11855493,10.16831142
0.29301992,0.66630227,0.24391501,0.50364052,-0.51834880,0.49161525,0.48577279,841.10852055,-4.64224150,5.10955818,-4.64224150,711.87721065,-4.85476796,5.10955818,-4.85476796,801.47510089,2.21396081,2.26025940,-3.25105856,2.26025940,9.86626618,-3.11955527,-3.25105856,-3.11955527,10.15989135
0.29298859,0.66633161,0.24391765,0.50364170,-0.51835709,0.49160423,0.48577386,841.19277803,-4.64237217,5.11038072,-4.64237217,711.94172640,-4.86108041,5.11038072,-4.86108041,801.54741738,2.20970640,2.26375366,-3.24578671,2.26375366,9.85842246,-3.12057586,-3.24578671,-3.12057586,10.15138035
0.29295728,0.66636088,0.24392030,0.50364289,-0.51836538,0.49159322,0.48577494,841.27704242,-4.64249561,5.11120985,-4.64249561,712.00626139,-4.86738064,5.11120985,-4.86738064,801.61974534,2.20543872,2.26724074,-3.24048811,2.26724074,9.85059551,-3.12161650,-3.24048811,-3.12161650,10.14277888
0.29292600,0.66639011,0.24392294,0.50364407,-0.51837366,0.49158219,0.48577602,841.36131366,-4.64261182,5.11204557,-4.64261182,712.07081560,-4.87366865,5.11204557,-4.87366865,801.69208471,2.20115789,2.27072051,-3.23516296,2.27072051,9.84278597,-3.12267697,-3.23516296,-3.12267697,10.13408745
0.29289475,0.66641928,0.24392558,0.50364525,-0.51838195,0.49157117,0.48577711,841.44559171,-4.64272082,5.11288787,-4.64272082,712.13538903,-4.87994442,5.11288787,-4.87994442,801.76443540,2.19686404,2.27419283,-3.22981147,2.27419283,9.83499451,-3.12375704,-3.22981147,-3.12375704,10.12530654
0.29286352,0.66644839,0.24392822,0.50364643,-0.51839024,0.49156013,0.48577821,841.52987652,-4.64282261,5.11373675,-4.64282261,712.19998167,-4.88620795,5.11373675,-4.88620795,801.83679736,2.19255730,2.27765756,-3.22443384,2.27765756,9.82722177,-3.12485652,-3.22443384,-3.12485652,10.11643663
0.29283233,0.66647745,0.24393085,0.50364761,-0.51839853,0.49154910,0.48577931,841.61416806,-4.64291720,5.11459219,-4.64291720,712.26459351,-4.89245921,5.11459219,-4.89245921,801.90917052,2.18823780,2.28111457,-3.21903029,2.28111457,9.81946839,-3.12597517,-3.21903029,-3.12597517,10.10747823
0.29280115,0.66650645,0.24393349,0.50364878,-0.51840682,0.49153806,0.48578042,841.69846627,-4.64300461,5.11545419,-4.64300461,712.32922453,-4.89869821,5.11545419,-4.89869821,801.98155480,2.18390568,2.28456372,-3.21360102,2.28456372,9.81173502,-3.12711279,-3.21360102,-3.12711279,10.09843182
0.29277001,0.66653540,0.24393613,0.50364996,-0.51841510,0.49152701,0.48578153,841.78277112,-4.64308485,5.11632275,-4.64308485,712.39387474,-4.90492493,5.11632275,-4.90492493,802.05395013,2.17956106,2.28800487,-3.20814624,2.28800487,9.80402230,-3.12826916,-3.20814624,-3.12826916,10.08929791
0.29273889,0.66656430,0.24393876,0.50365113,-0.51842339,0.49151596,0.48578266,841.86708255,-4.64315793,5.11719785,-4.64315793,712.45854412,-4.91113935,5.11719785,-4.91113935,802.12635644,2.17520408,2.29143790,-3.20266616,2.29143790,9.79633088,-3.12944406,-3.20266616,-3.12944406,10.08007699
0.29270779,0.66659314,0.24394139,0.50365230,-0.51843168,0.49150490,0.48578379,841.95140052,-4.64322385,5.11807950,-4.64322385,712.52323266,-4.91734149,5.11807950,-4.91734149,802.19877367,2.17083485,2.29486266,-3.19716100,2.29486266,9.78866138,-3.13063727,-3.19716100,-3.13063727,10.07076956
0.29267673,0.66662193,0.24394402,0.50365346,-0.51843997,0.49149384,0.48578492,842.03572499,-4.64328264,5.11896768,-4.64328264,712.58794034,-4.92353131,5.11896768,-4.92353131,802.27120173,2.16645353,2.29827902,-3.19163096,2.29827902,9.78101447,-3.13184858,-3.19163096,-3.13184858,10.06137613
0.29264569,0.66665066,0.24394665,0.50365463,-0.51844825,0.49148278,0.48578606,842.12005591,-4.64333430,5.11986238,-4.64333430,712.65266717,-4.92970883,5.11986238,-4.92970883,802.34364056,2.16206023,2.30168686,-3.18607624,2.30168686,9.77339076,-3.13307776,-3.18607624,-3.13307776,10.05189720
0.29261468,0.66667934,0.24394927,0.50365579,-0.51845654,0.49147171,0.48578721,842.20439323,-4.64337884,5.12076360,-4.64337884,712.71741312,-4.93587403,5.12076360,-4.93587403,802.41609008,2.15765509,2.30508602,-3.18049708,2.30508602,9.76579090,-3.13432460,-3.18049708,-3.13432460,10.04233327
0.29258369,0.66670796,0.24395190,0.50365695,-0.51846483,0.49146064,0.48578837,842.28873691,-4.64341629,5.12167133,-4.64341629,712.78217818,-4.94202689,5.12167133,-4.94202689,802.48855022,2.15323824,2.30847639,-3.17489366,2.30847639,9.75821551,-3.13558888,-3.17489366,-3.13558888,10.03268487
