x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.44798562,0.51510395,0.29792804,-0.10924747,0.05323739,0.00008132,148.46336232,-42.01856884,-32.20157162,-42.01856884,180.86338709,72.89866814,-32.20157162,72.89866814,149.73356740,8.57796828,-0.39424424,-0.28488929,-0.39424424,0.07507989,0.13122623,-0.28488929,0.13122623,33.70784207
0.44689427,0.51563234,0.29792885,-0.10902049,0.05244476,0.00008224,148.23028165,-42.35460266,-31.83611494,-42.35460266,180.39808466,73.10845877,-31.83611494,73.10845877,149.38177180,8.60935544,-0.36767332,-0.28968271,-0.36767332,0.07039327,0.10642763,-0.28968271,0.10642763,33.87995764
0.44580521,0.51615284,0.29792968,-0.10879020,0.05166033,0.00008360,147.99547238,-42.69038572,-31.47397824,-42.69038572,179.93209208,73.31626847,-31.47397824,73.31626847,149.04291526,8.63660244,-0.34050120,-0.29420653,-0.34050120,0.06630707,0.08285564,-0.29420653,0.08285564,34.04219097
0.44471847,0.51666554,0.29793052,-0.10855682,0.05088447,0.00008549,147.75902085,-43.02584866,-31.11533644,-43.02584866,179.46534955,73.52205750,-31.11533644,73.52205750,148.71704186,8.65970446,-0.31274217,-0.29845092,-0.31274217,0.06281916,0.06055183,-0.29845092,0.06055183,34.19493210
0.44363408,0.51717053,0.29793139,-0.10832054,0.05011750,0.00008798,147.52101296,-43.36092296,-30.76036085,-43.36092296,178.99779744,73.72579085,-30.76036085,73.72579085,148.40417938,8.67865982,-0.28441100,-0.30240618,-0.28441100,0.05992830,0.03955604,-0.30240618,0.03955604,34.33858156
0.44255206,0.51766789,0.29793228,-0.10808152,0.04935973,0.00009115,147.28153415,-43.69554099,-30.40921906,-43.69554099,178.52937629,73.92743828,-30.40921906,73.92743828,148.10433931,8.69346986,-0.25552293,-0.30606271,-0.25552293,0.05763417,0.01990647,-0.30606271,0.01990647,34.47354883
0.44147245,0.51815773,0.29793321,-0.10783992,0.04861144,0.00009507,147.04066932,-44.02963598,-30.06207481,-44.02963598,178.06002684,74.12697433,-30.06207481,74.12697433,147.81751694,8.70413894,-0.22609369,-0.30941109,-0.22609369,0.05593738,0.00163975,-0.30941109,0.00163975,34.60025079
0.44039526,0.51864012,0.29793419,-0.10759584,0.04787285,0.00009980,146.79850279,-44.36314214,-29.71908782,-44.36314214,177.58969013,74.32437832,-29.71908782,74.32437832,147.54369147,8.71067428,-0.19613950,-0.31244204,-0.19613950,0.05483946,-0.01520905,-0.31244204,-0.01520905,34.71911019
0.43932053,0.51911518,0.29793521,-0.10734938,0.04714418,0.00010543,146.55511827,-44.69599460,-29.38041369,-44.69599460,177.11830744,74.51963435,-29.38041369,74.51963435,147.28282606,8.71308594,-0.16567706,-0.31514645,-0.16567706,0.05434290,-0.03060630,-0.31514645,-0.03060630,34.83055406
0.43824827,0.51958301,0.29793629,-0.10710059,0.04642560,0.00011202,146.31059882,-45.02812945,-29.04620377,-45.02812945,176.64582044,74.71273126,-29.04620377,74.71273126,147.03486809,8.71138671,-0.13472359,-0.31751540,-0.13472359,0.05445110,-0.04451975,-0.31751540,-0.04451975,34.93501223
